categoria,disponibilidade,preco_com_taxa,preco_sem_taxa,rating,titulo,url_imagem
Music,1,28.8,28.8,3,Forever Rockers (The Rocker #12),https://books.toscrape.com/media/cache/a2/fc/a2fc91793502f5c10b5826ad606de435.jpg
Default,1,38.0,38.0,2,Frankenstein,https://books.toscrape.com/media/cache/f7/22/f722c24607ddc8013476ca8e84639ba7.jpg
Sequential Art,1,45.24,45.24,3,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",https://books.toscrape.com/media/cache/66/97/6697a03eedbac77c2e957788e48b70a8.jpg
Sports and Games,1,40.44,40.44,4,Icing (Aces Hockey #2),https://books.toscrape.com/media/cache/bf/31/bf31c4b40f6b2622330155fb9113a3bb.jpg
Romance,1,34.74,34.74,4,Imperfect Harmony,https://books.toscrape.com/media/cache/f1/49/f1498baf6cb055e0a9188d5e57c5f686.jpg
Default,1,38.43,38.43,5,Jane Eyre,https://books.toscrape.com/media/cache/72/9f/729f5f6a75746782c336537730256f66.jpg
Fiction,1,57.2,57.2,5,Kitchens of the Great Midwest,https://books.toscrape.com/media/cache/ed/be/edbe83ef3ebf5c22b9ebc139d3232947.jpg
Romance,1,58.99,58.99,3,Listen to Me (Fusion #1),https://books.toscrape.com/media/cache/98/85/9885b87053dcd05803ef58e9817e935a.jpg
Add a comment,1,24.89,24.89,3,Lord of the Flies,https://books.toscrape.com/media/cache/20/fd/20fd23f982b45a59f6c1a31e6804e735.jpg
Historical Fiction,1,27.7,27.7,4,Lost Among the Living,https://books.toscrape.com/media/cache/5f/03/5f0345cd81aaad65bb9f6a34ec0f6b9b.jpg
Childrens,1,28.34,28.34,1,Matilda,https://books.toscrape.com/media/cache/3c/db/3cdb7121cf09e7c5e3436cfff9834a67.jpg
Philosophy,1,25.89,25.89,2,Meditations,https://books.toscrape.com/media/cache/90/f7/90f79652caecac36bc97bf7b769c8fc4.jpg
Sequential Art,1,39.39,39.39,4,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",https://books.toscrape.com/media/cache/99/f5/99f511d2d38ef356701341d405a1cca2.jpg
Romance,1,38.92,38.92,2,My Perfect Mistake (Over the Top #1),https://books.toscrape.com/media/cache/2e/fa/2efa13faabc899f61c2a181ab0de7ef8.jpg
Fantasy,1,58.75,58.75,4,Myriad (Prentor #1),https://books.toscrape.com/media/cache/48/7d/487d4be44c60cac7f0085242c4512653.jpg
Classics,1,47.11,47.11,2,Of Mice and Men,https://books.toscrape.com/media/cache/a0/bb/a0bb0881c8ee6f5866804cf0a437853f.jpg
New Adult,1,39.45,39.45,5,Off Sides (Off #1),https://books.toscrape.com/media/cache/4a/58/4a58f6feb21b7194911eddb020766583.jpg
Music,1,55.66,55.66,2,Old Records Never Die: One Man's Quest for His Vinyl and His Past,https://books.toscrape.com/media/cache/aa/55/aa55bbf7037a0e19ae69485adcc11903.jpg
Default,1,32.36,32.36,3,On the Road (Duluoz Legend),https://books.toscrape.com/media/cache/7f/9b/7f9bc0563de554998e2d93b7edec4921.jpg
Sequential Art,1,21.71,21.71,4,"Paper Girls, Vol. 1 (Paper Girls #1-5)",https://books.toscrape.com/media/cache/87/b3/87b3b5ff42301d1c7eeb0c81055f1633.jpg
Default,1,24.96,24.96,1,Paradise Lost (Paradise #1),https://books.toscrape.com/media/cache/56/36/5636eec07534db6e8bc55ed562bad042.jpg
Sequential Art,1,46.96,46.96,5,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",https://books.toscrape.com/media/cache/70/da/70daa09e4ddebe1d60f50720c0b49976.jpg
Romance,1,28.34,28.34,2,"Rhythm, Chord & Malykhin",https://books.toscrape.com/media/cache/1e/c9/1ec952e4d14d37dc7b6d74fa07f1ea37.jpg
Sequential Art,1,28.48,28.48,1,"Saga, Volume 1 (Saga (Collected Editions) #1)",https://books.toscrape.com/media/cache/86/01/860132d9f65dd9df2143fb9071a40115.jpg
Classics,1,37.46,37.46,1,Sense and Sensibility,https://books.toscrape.com/media/cache/a8/57/a857deea83c7d4c66e2920e1cf5d8fe0.jpg
Sports and Games,1,44.91,44.91,2,Settling the Score (The Summer Games #1),https://books.toscrape.com/media/cache/95/c4/95c41c1765b517d6240bd674a02676b1.jpg
Fantasy,1,21.72,21.72,4,Shadow Rites (Jane Yellowrock #10),https://books.toscrape.com/media/cache/b8/35/b83561ef09d202d3c871649feed4b66d.jpg
New Adult,1,58.35,58.35,3,Shameless,https://books.toscrape.com/media/cache/e2/52/e252988534e955a047c562376b8b95c0.jpg
Default,1,42.4,42.4,1,Shatter Me (Shatter Me #1),https://books.toscrape.com/media/cache/37/40/37407ed591f1a8e5433fc6b9128d5d10.jpg
Fantasy,1,13.33,13.33,3,Sister Sable (The Mad Queen #1),https://books.toscrape.com/media/cache/26/47/2647baddb86f91b6f7ea2fb8052edd62.jpg
Sequential Art,1,42.12,42.12,3,"Skip Beat!, Vol. 01 (Skip Beat! #1)",https://books.toscrape.com/media/cache/03/0a/030af2f71cc40b03f7d79a0929ac9c18.jpg
Historical Fiction,1,25.83,25.83,3,Starlark,https://books.toscrape.com/media/cache/76/e2/76e2881d47f2da9283e52d3c57eef532.jpg
Default,1,18.88,18.88,2,Taking Shots (Assassins #1),https://books.toscrape.com/media/cache/72/d7/72d7f51393409b2d130845e6ade7522b.jpg
Young Adult,1,40.83,40.83,4,The Art of Not Breathing,https://books.toscrape.com/media/cache/0b/9f/0b9f43b6b5cf8053dd2c68ecafe70b8a.jpg
Fiction,1,30.66,30.66,3,The Bette Davis Club,https://books.toscrape.com/media/cache/fb/6c/fb6c914f1da870442031095c85f4cf80.jpg
Religion,1,57.49,57.49,3,The Bhagavad Gita,https://books.toscrape.com/media/cache/13/27/13270087ac5cba3e999166a64991187a.jpg
Nonfiction,1,14.4,14.4,1,The End of the Jesus Era (An Investigation #1),https://books.toscrape.com/media/cache/fa/9d/fa9db3f9dfc5a859c091d1262a56a89f.jpg
Mystery,1,15.85,15.85,3,The Girl In The Ice (DCI Erika Foster #1),https://books.toscrape.com/media/cache/83/54/835421d17d99c89fd99d07e17806357b.jpg
Mystery,1,12.29,12.29,5,The Girl You Lost,https://books.toscrape.com/media/cache/28/15/2815974db428ea019fc84e08af23095b.jpg
Young Adult,1,27.89,27.89,5,The Haters,https://books.toscrape.com/media/cache/4a/13/4a1370ebafcaf6ba5f5e1fe4a609b6d8.jpg
New Adult,1,36.29,36.29,5,The Hook Up (Game On #1),https://books.toscrape.com/media/cache/90/de/90de87ce300bcbbfcdb9ad77fc9a2e5f.jpg
Add a comment,1,16.16,16.16,1,The Iliad,https://books.toscrape.com/media/cache/9e/14/9e14dd99b3b2f07f5a43ee2e007c1c26.jpg
Science Fiction,1,36.26,36.26,2,The Last Girl (The Dominion Trilogy #1),https://books.toscrape.com/media/cache/2a/88/2a88181c495875c02f87c2e6010b046d.jpg
Add a comment,1,54.43,54.43,1,The Light of the Fireflies,https://books.toscrape.com/media/cache/94/23/9423f5e8b08195183f7ee002f3b48b33.jpg
Classics,1,45.42,45.42,2,The Little Prince,https://books.toscrape.com/media/cache/c0/d6/c0d67625e62981155f5e1f553bda1a94.jpg
Fantasy,1,29.38,29.38,1,The Mirror & the Maze (The Wrath and the Dawn #1.5),https://books.toscrape.com/media/cache/61/8a/618a23dc5a492a4aa8b15ba4bf80c781.jpg
Default,1,50.59,50.59,3,The Name of the Wind (The Kingkiller Chronicle #1),https://books.toscrape.com/media/cache/94/31/9431e2494b4b32721b037c6f6dce9a03.jpg
Philosophy,1,36.34,36.34,1,The Nicomachean Ethics,https://books.toscrape.com/media/cache/16/f4/16f4518319f7dcadc23d020279f78545.jpg
Mystery,1,57.7,57.7,4,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),https://books.toscrape.com/media/cache/62/8c/628c0151226402726149c98549671250.jpg
Add a comment,1,29.64,29.64,3,The Odyssey,https://books.toscrape.com/media/cache/46/09/4609b4e20bb1d076693b2d24e8e90704.jpg
Add a comment,1,33.78,33.78,3,The Republic,https://books.toscrape.com/media/cache/ab/bf/abbf443d42de3bad8d145794534934bb.jpg
Sequential Art,1,54.12,54.12,3,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",https://books.toscrape.com/media/cache/35/18/3518d80c6b73f9c76e9713af42b9c8e1.jpg
Historical Fiction,1,34.56,34.56,3,The Secret Healer,https://books.toscrape.com/media/cache/3e/59/3e59b2225c72d3dcf40a306e2b983314.jpg
Classics,1,43.19,43.19,4,The Story of Hong Gildong,https://books.toscrape.com/media/cache/b5/5b/b55be7e5c18b62cef6ebeae404f7f643.jpg
Nonfiction,1,41.56,41.56,5,The Tumor,https://books.toscrape.com/media/cache/8a/14/8a14b06317e794b3469e57d20270f80f.jpg
Sequential Art,1,36.52,36.52,2,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",https://books.toscrape.com/media/cache/2a/29/2a296946d7a2ed3829e57d6b155be43b.jpg
Default,1,19.69,19.69,5,The Zombie Room,https://books.toscrape.com/media/cache/ca/4a/ca4a9ba7acfea039f1abeff1d95d9674.jpg
Romance,1,48.71,48.71,1,This One Moment (Pushing Limits #1),https://books.toscrape.com/media/cache/bb/8b/bb8b7e644c005aba53d55240b54952ae.jpg
Science Fiction,1,44.18,44.18,2,Three Wishes (River of Time: California #1),https://books.toscrape.com/media/cache/48/e6/48e697e9c8bba8ca04a3064551cda630.jpg
Nonfiction,1,57.82,57.82,5,Travels with Charley: In Search of America,https://books.toscrape.com/media/cache/3f/c2/3fc2d771fe5f12df5de998d99036a35a.jpg
Poetry,1,30.95,30.95,4,Twenty Love Poems and a Song of Despair,https://books.toscrape.com/media/cache/ec/10/ec10f11ff0ea13c17a42d81b03896235.jpg
Fantasy,1,53.82,53.82,2,Vampire Girl (Vampire Girl #1),https://books.toscrape.com/media/cache/32/8d/328dc781f0faaa70e67f9a04ef601d3c.jpg
Paranormal,1,15.4,15.4,1,"Vampire Knight, Vol. 1 (Vampire Knight #1)",https://books.toscrape.com/media/cache/39/82/39826643a2e100f9e763079d7d5867f4.jpg
Art,1,39.51,39.51,5,Ways of Seeing,https://books.toscrape.com/media/cache/a5/54/a5542b7abc8673ea8254a3fe93b23e4e.jpg
Fiction,1,51.96,51.96,3,When I'm Gone,https://books.toscrape.com/media/cache/f8/dd/f8ddbaef30884ed017b662b4069b78d4.jpg
Romance,1,39.77,39.77,3,Where Lightning Strikes (Bleeding Stars #3),https://books.toscrape.com/media/cache/a3/50/a35037c93fbc48a1a62dc74c71f62779.jpg
Historical Fiction,1,41.32,41.32,5,While You Were Mine,https://books.toscrape.com/media/cache/4f/7c/4f7cde01c9711886ef5a8fa14996a52d.jpg
Sequential Art,1,18.51,18.51,4,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",https://books.toscrape.com/media/cache/31/3f/313fb7d006c8c507d63ce7e96b56d925.jpg
Childrens,2,52.88,52.88,4,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),https://books.toscrape.com/media/cache/a8/9a/a89a1b7ffea60884f203877bb89f6ef4.jpg
Sequential Art,2,11.64,11.64,5,"Fruits Basket, Vol. 2 (Fruits Basket #2)",https://books.toscrape.com/media/cache/87/36/8736be56d958f5d8d855108afb206c9f.jpg
Music,2,31.58,31.58,5,Life,https://books.toscrape.com/media/cache/9b/61/9b6155b8013ed9e05ef8a85b4117165b.jpg
Young Adult,2,12.86,12.86,4,New Moon (Twilight #2),https://books.toscrape.com/media/cache/dc/d6/dcd6ccbed1f8003d5bf53e2791c5abe7.jpg
Philosophy,2,20.02,20.02,1,"Run, Spot, Run: The Ethics of Keeping Pets",https://books.toscrape.com/media/cache/8c/bf/8cbf4667b5798cb8195f1e126ddd6a5c.jpg
Sequential Art,2,11.75,11.75,3,"Saga, Volume 2 (Saga (Collected Editions) #2)",https://books.toscrape.com/media/cache/bd/1e/bd1e9e86b838676121bc4954ab40712a.jpg
Sports and Games,2,24.42,24.42,1,Sugar Rush (Offensive Line #2),https://books.toscrape.com/media/cache/10/65/106598cd8f3437c26a92cbda0a5a08bb.jpg
Fiction,2,16.78,16.78,3,The Course of Love,https://books.toscrape.com/media/cache/c9/b9/c9b9ce0ea36cc737d1693ac89c5d0361.jpg
Sequential Art,2,54.81,54.81,1,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",https://books.toscrape.com/media/cache/b3/48/b3481a7849a7d98131ced57476bb2f26.jpg
Add a comment,2,31.38,31.38,3,The Sense of an Ending,https://books.toscrape.com/media/cache/c4/d2/c4d2764a45584960ee18de814191e21a.jpg
Nonfiction,2,11.89,11.89,2,"The Suffragettes (Little Black Classics, #96)",https://books.toscrape.com/media/cache/8f/39/8f399ee98cb1a7c77525123b00d4b3e0.jpg
Add a comment,3,50.96,50.96,1,#GIRLBOSS,https://books.toscrape.com/media/cache/4d/3a/4d3a9198fd6fd7b66ad7742b37c7f3ac.jpg
Psychology,3,31.04,31.04,1,8 Keys to Mental Health Through Exercise,https://books.toscrape.com/media/cache/37/5e/375e0267fe12e7aa1f9f7f2bd2711ecb.jpg
Autobiography,3,54.29,54.29,5,A Heartbreaking Work of Staggering Genius,https://books.toscrape.com/media/cache/47/f3/47f3d4f1e85773bf41ba64a036e37994.jpg
Fantasy,3,31.22,31.22,2,A Storm of Swords (A Song of Ice and Fire #3),https://books.toscrape.com/media/cache/0b/c8/0bc884c23d4204aec7bbf35d5e8849f6.jpg
Default,3,14.08,14.08,5,A Visit from the Goon Squad,https://books.toscrape.com/media/cache/fb/b0/fbb08b1e3eb34d5401e815e40eab0df9.jpg
Nonfiction,3,30.48,30.48,4,A Walk in the Woods: Rediscovering America on the Appalachian Trail,https://books.toscrape.com/media/cache/39/51/3951dc08d449aa692ce82eefb692254e.jpg
Classics,3,35.01,35.01,2,And Then There Were None,https://books.toscrape.com/media/cache/6f/b0/6fb0c3064656f888125ab577b6a01867.jpg
Young Adult,3,36.83,36.83,5,Annie on My Mind,https://books.toscrape.com/media/cache/78/2c/782c8d1e4ab324d978c5dadca02e8cd8.jpg
Sequential Art,3,38.02,38.02,2,Awkward,https://books.toscrape.com/media/cache/71/82/718278fb0edaa50e1f1930cdd2048d87.jpg
Default,3,21.55,21.55,5,Beautiful Creatures (Caster Chronicles #1),https://books.toscrape.com/media/cache/82/30/82301a313be5a9ef4cedce8c79a54669.jpg
Classics,3,38.35,38.35,2,Beowulf,https://books.toscrape.com/media/cache/3d/8c/3d8cd7a42d3e57cb10e02f9ab76bd549.jpg
Romance,3,27.41,27.41,2,Best of My Love (Fool's Gold #20),https://books.toscrape.com/media/cache/c1/0a/c10a83087db24c35f88555f2b8511e9e.jpg
Historical Fiction,3,20.79,20.79,5,Between Shades of Gray,https://books.toscrape.com/media/cache/df/45/df45004c7a4c3940946ad09f85805565.jpg
Fiction,3,22.11,22.11,1,Big Little Lies,https://books.toscrape.com/media/cache/c5/3f/c53fd6a9300ac091351e3830273a4d42.jpg
Sequential Art,3,49.31,49.31,1,"Black Butler, Vol. 1 (Black Butler #1)",https://books.toscrape.com/media/cache/86/bb/86bb13ef73474e6e96acea6e5ff44231.jpg
Nonfiction,3,40.87,40.87,1,Black Flags: The Rise of ISIS,https://books.toscrape.com/media/cache/54/a3/54a3916506dc5bd1a6ea2200a3d0b28f.jpg
Nonfiction,3,21.74,21.74,5,Blink: The Power of Thinking Without Thinking,https://books.toscrape.com/media/cache/41/be/41be12dcc78968882b11108acb79d1c7.jpg
Nonfiction,3,27.35,27.35,2,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",https://books.toscrape.com/media/cache/3a/bd/3abdfc779aede13dbd2eefe34f91dbb1.jpg
Young Adult,3,21.12,21.12,3,Boy Meets Boy,https://books.toscrape.com/media/cache/86/3c/863c3b48499a99392aace127df8b43e5.jpg
Nonfiction,3,51.32,51.32,5,Brave Enough,https://books.toscrape.com/media/cache/52/f5/52f5c0cb27e1f26b2639ff3f78acf833.jpg
Default,3,35.28,35.28,5,Breaking Dawn (Twilight #4),https://books.toscrape.com/media/cache/7f/14/7f14ab5b29802231676c975915fdaa46.jpg
Mystery,3,24.72,24.72,2,Career of Evil (Cormoran Strike #3),https://books.toscrape.com/media/cache/40/f8/40f897ffbfda6e88e5763c157cfd0930.jpg
Parenting,3,37.35,37.35,2,Catastrophic Happiness: Finding Joy in Childhood's Messy Years,https://books.toscrape.com/media/cache/3c/b9/3cb9c84d2a6a66f8bb6601d4f33deaa0.jpg
Young Adult,3,26.09,26.09,1,Cinder (The Lunar Chronicles #1),https://books.toscrape.com/media/cache/55/2d/552d4630bed694b33b042990e30722d3.jpg
Psychology,3,59.95,59.95,2,Civilization and Its Discontents,https://books.toscrape.com/media/cache/5c/27/5c2728296f41f2f0fb52142e35f49570.jpg
Default,3,23.9,23.9,5,Dark Places,https://books.toscrape.com/media/cache/48/77/48772730eb8ab688bcded3c230049e60.jpg
Fantasy,3,56.02,56.02,1,Darkfever (Fever #1),https://books.toscrape.com/media/cache/f2/53/f253cb694eae2cc512e395f2d54eefd5.jpg
Default,3,17.81,17.81,1,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",https://books.toscrape.com/media/cache/e5/2a/e52aa0bc6f8fcf894ffbe132b68f903e.jpg
Default,3,39.24,39.24,5,Dead Wake: The Last Crossing of the Lusitania,https://books.toscrape.com/media/cache/18/6b/186b3ff364117b6771a99d18b944e801.jpg
Nonfiction,3,15.28,15.28,5,Disrupted: My Misadventure in the Start-Up Bubble,https://books.toscrape.com/media/cache/b7/2e/b72ee05aebe1a2563e30582a35bb5372.jpg
Science Fiction,3,51.48,51.48,1,Do Androids Dream of Electric Sheep? (Blade Runner #1),https://books.toscrape.com/media/cache/c7/a3/c7a3d04df9cbc857b149cd76d32e3030.jpg
Default,3,52.62,52.62,3,Dracula,https://books.toscrape.com/media/cache/16/0e/160e4bca2350f51d5ec2fe4a0f88543a.jpg
Science Fiction,3,54.86,54.86,1,Dune (Dune #1),https://books.toscrape.com/media/cache/63/a9/63a9a4e0c8e3c6ee2075a766b873cd31.jpg
Default,3,18.74,18.74,1,Eclipse (Twilight #3),https://books.toscrape.com/media/cache/cf/04/cf0433b690aab40a7ceddb682c90a54b.jpg
Fantasy,3,43.87,43.87,3,Eragon (The Inheritance Cycle #1),https://books.toscrape.com/media/cache/8e/5a/8e5a6639c7e2f9b59ff15f04a3b055e1.jpg
Mystery,3,25.4,25.4,3,Extreme Prey (Lucas Davenport #26),https://books.toscrape.com/media/cache/0a/b2/0ab24d35793497f6a72137191b91659e.jpg
Default,3,38.62,38.62,1,Fellside,https://books.toscrape.com/media/cache/cc/06/cc0645a0e77fc831377456199f9e0a94.jpg
Adult Fiction,3,15.36,15.36,5,Fifty Shades Freed (Fifty Shades #3),https://books.toscrape.com/media/cache/f4/07/f407d3bbf457d35701dfe72ee9ef3b68.jpg
Add a comment,3,21.28,21.28,4,Fire Bound (Sea Haven/Sisters of the Heart #5),https://books.toscrape.com/media/cache/33/fb/33fba23401f34bd8cd5287f5ca640502.jpg
Sports and Games,3,51.22,51.22,3,"Friday Night Lights: A Town, a Team, and a Dream",https://books.toscrape.com/media/cache/89/e8/89e87f1e98993377949855563aa1f982.jpg
Sequential Art,3,45.17,45.17,2,"Fruits Basket, Vol. 3 (Fruits Basket #3)",https://books.toscrape.com/media/cache/85/d2/85d2821dbc2d274f516582449199015e.jpg
Historical Fiction,3,46.83,46.83,2,Girl in the Blue Coat,https://books.toscrape.com/media/cache/15/ea/15eaabd188af8916c4a37d135f7b8952.jpg
Sequential Art,3,42.72,42.72,1,"Grayson, Vol 3: Nemesis (Grayson #3)",https://books.toscrape.com/media/cache/a9/10/a9105d5dbdc6a339c21d6635b3dc1697.jpg
Childrens,3,10.79,10.79,4,Green Eggs and Ham (Beginner Books B-16),https://books.toscrape.com/media/cache/38/91/38916e718a4a117d62cbb8e10c7443ff.jpg
Fantasy,3,44.07,44.07,4,Heir to the Sky,https://books.toscrape.com/media/cache/36/39/36393f3294ab28afe4a2117fc987be75.jpg
Humor,3,51.07,51.07,2,Holidays on Ice,https://books.toscrape.com/media/cache/57/4c/574cbab555bb7d21e50b20267383e45d.jpg
Childrens,3,37.52,37.52,2,Horrible Bear!,https://books.toscrape.com/media/cache/9f/9c/9f9c8afb3befd7ab2629c76983445766.jpg
Horror,3,54.89,54.89,1,House of Leaves,https://books.toscrape.com/media/cache/20/c2/20c2ff61355569b4f84e2f847e37db25.jpg
History,3,43.7,43.7,2,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",https://books.toscrape.com/media/cache/f5/b7/f5b783f6cfdfe30895d912f9e337bb22.jpg
Food and Drink,3,33.14,33.14,3,Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,https://books.toscrape.com/media/cache/54/63/54630f76b730d2d00dc8d75921992af2.jpg
Nonfiction,3,28.88,28.88,2,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,https://books.toscrape.com/media/cache/69/07/69077c48327b2702f44adc035fcc1ce4.jpg
Womens Fiction,3,19.69,19.69,1,I've Got Your Number,https://books.toscrape.com/media/cache/3d/40/3d407a69fe55223fb4cfec577a9a8ee2.jpg
Christian Fiction,3,49.97,49.97,4,If I Run (If I Run #1),https://books.toscrape.com/media/cache/54/17/54179d9af49616b1ef35a0bb23294b14.jpg
Nonfiction,3,28.85,28.85,3,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",https://books.toscrape.com/media/cache/b5/a2/b5a295c15ac586c6daa84e6e20f47b06.jpg
Fiction,3,41.0,41.0,5,Inferno (Robert Langdon #4),https://books.toscrape.com/media/cache/ec/15/ec15a39e6f193636635f20a7354b08f6.jpg
Nonfiction,3,56.7,56.7,5,Into the Wild,https://books.toscrape.com/media/cache/de/c9/dec9168a8a3876b60feedb68aeb0225b.jpg
Default,3,20.11,20.11,3,Is Everyone Hanging Out Without Me? (And Other Concerns),https://books.toscrape.com/media/cache/80/4f/804fbcee4a4afa6498badaa12709c049.jpg
Nonfiction,3,42.38,42.38,1,It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,https://books.toscrape.com/media/cache/27/f5/27f54466115767b767133ee034543cb5.jpg
Fiction,3,44.97,44.97,1,Jurassic Park (Jurassic Park #1),https://books.toscrape.com/media/cache/26/9e/269e8962f39f359559a46cae86576128.jpg
Young Adult,3,43.69,43.69,4,Legend (Legend #1),https://books.toscrape.com/media/cache/57/8f/578f1512a0f0a9d3c2ab9543f7b4506f.jpg
Nonfiction,3,45.11,45.11,1,Let's Pretend This Never Happened: A Mostly True Memoir,https://books.toscrape.com/media/cache/f5/8a/f58a15a50b2d70a4a8fd4fa6485a7009.jpg
Nonfiction,3,22.2,22.2,1,Letter to a Christian Nation,https://books.toscrape.com/media/cache/88/21/8821ea9cd21326e41e095619b822a4a8.jpg
Default,3,26.13,26.13,2,Life After Life,https://books.toscrape.com/media/cache/60/4b/604b6a188b8ad3cfaeda67039399fcb6.jpg
Autobiography,3,59.04,59.04,5,Life Without a Recipe,https://books.toscrape.com/media/cache/9e/4f/9e4fb935df3113056cc9bdee6cd09ea6.jpg
Science Fiction,3,33.26,33.26,2,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",https://books.toscrape.com/media/cache/54/ca/54cac05a3026d35e713133a1fe49f6c8.jpg
Fiction,3,12.47,12.47,3,Lila (Gilead #3),https://books.toscrape.com/media/cache/9b/37/9b37bcfb1a44dabbef36f5bf899df4b0.jpg
Autobiography,3,11.87,11.87,2,Lust & Wonder,https://books.toscrape.com/media/cache/25/1c/251ce4355601534338a646f2b63be93a.jpg
Add a comment,3,34.98,34.98,2,Manuscript Found in Accra,https://books.toscrape.com/media/cache/d9/54/d9540861f39f0b181b3fb13d57025f0c.jpg
Autobiography,3,57.6,57.6,2,Me Talk Pretty One Day,https://books.toscrape.com/media/cache/61/b2/61b220c2079a45a7975a397c8849e00e.jpg
Fantasy,3,55.46,55.46,2,Midnight Riot (Peter Grant/ Rivers of London - books #1),https://books.toscrape.com/media/cache/cd/65/cd65e4ee648ae23f6cdafb41e4948d6e.jpg
Nonfiction,3,57.83,57.83,1,"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",https://books.toscrape.com/media/cache/60/cd/60cda3c756f14ef6625b979cfeb230ea.jpg
Default,3,29.4,29.4,1,Morning Star (Red Rising #3),https://books.toscrape.com/media/cache/53/4b/534bffd5988b0ddf6b587de76fa63d9a.jpg
Humor,3,31.69,31.69,3,Naked,https://books.toscrape.com/media/cache/80/2b/802b92421a7314b0a6afef8a9754cf5c.jpg
Travel,3,38.95,38.95,3,Neither Here nor There: Travels in Europe,https://books.toscrape.com/media/cache/c9/9a/c99a7a05537cd842eb4db83d537e3a4d.jpg
Nonfiction,3,13.51,13.51,1,Night (The Night Trilogy #1),https://books.toscrape.com/media/cache/b2/45/b245b0b715de260634e66a05a024cc52.jpg
Nonfiction,3,40.17,40.17,1,Notes from a Small Island (Notes From a Small Island #1),https://books.toscrape.com/media/cache/8f/40/8f40ba4f73d2c70e0ccc15d77dc3c220.jpg
Nonfiction,3,14.16,14.16,1,Outliers: The Story of Success,https://books.toscrape.com/media/cache/7c/7f/7c7f3a48d03cdbdd87c07482711b72f9.jpg
Default,3,56.68,56.68,2,Packing for Mars: The Curious Science of Life in the Void,https://books.toscrape.com/media/cache/f1/33/f13365561defe8ad6f80c26d2216633c.jpg
Sequential Art,3,39.13,39.13,1,Persepolis: The Story of a Childhood (Persepolis #1-2),https://books.toscrape.com/media/cache/9d/5f/9d5f4a231a2ee898ed76f603b3e40163.jpg
Sequential Art,3,43.63,43.63,3,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),https://books.toscrape.com/media/cache/1b/8b/1b8b733db667fc3a7bbca0d65fa078f1.jpg
Default,3,43.55,43.55,1,Quiet: The Power of Introverts in a World That Can't Stop Talking,https://books.toscrape.com/media/cache/15/fd/15fd39b56579a9038ad1233ceb91951d.jpg
Science Fiction,3,19.07,19.07,4,Ready Player One,https://books.toscrape.com/media/cache/b9/af/b9afd75c09ff7bf82c9a158a34cb993d.jpg
Childrens,3,28.54,28.54,3,Red: The True Story of Red Riding Hood,https://books.toscrape.com/media/cache/9d/dd/9ddd21ce54bf11eb84bf6986decb9915.jpg
Romance,3,11.1,11.1,3,Reservations for Two,https://books.toscrape.com/media/cache/7a/13/7a13d10c37d4b975145bfa493f69fbf0.jpg
Business,3,44.88,44.88,2,Rework,https://books.toscrape.com/media/cache/12/23/12233a9d0bf8187a988c27c6a54b3d31.jpg
Nonfiction,3,41.67,41.67,4,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",https://books.toscrape.com/media/cache/1c/41/1c41d9cb63d3627fc60a1f3ba42da963.jpg
Add a comment,3,50.11,50.11,3,Rogue Lawyer (Rogue Lawyer #1),https://books.toscrape.com/media/cache/2d/d0/2dd096d0fa0af96560c16aeffea83d4a.jpg
Autobiography,3,12.91,12.91,4,Running with Scissors,https://books.toscrape.com/media/cache/4c/e1/4ce1ed40df359e001020e1ea55674381.jpg
Sequential Art,3,21.57,21.57,5,"Saga, Volume 3 (Saga (Collected Editions) #3)",https://books.toscrape.com/media/cache/55/89/5589eb7a8127d04add1c4205186d91d4.jpg
Add a comment,3,46.29,46.29,1,Sarah's Key,https://books.toscrape.com/media/cache/36/94/3694ded38770738af6a6959636124331.jpg
Young Adult,3,14.57,14.57,4,Scarlet (The Lunar Chronicles #2),https://books.toscrape.com/media/cache/97/04/9704e3b9203e9b029134d0b86c17613b.jpg
